"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"42","Jason Witten",LV,"at LAC","4 out of 5 stars","F","2.2"
"43","Ryan Izzo",NE,"at NYJ","4 out of 5 stars","F","2.2"
"44","Jacob Hollister",SEA,"at BUF","5 out of 5 stars","F","2.0"
"45","Kaden Smith",NYG,"at WAS","3 out of 5 stars","F","2.0"
"46","Jesse James",DET,"at MIN","4 out of 5 stars","F","2.0"
"47","Adam Shaheen",MIA,"at ARI","4 out of 5 stars","F","2.0"
"48","Foster Moreau",LV,"at LAC","4 out of 5 stars","F","1.9"
"49","Donald Parham Jr.",LAC,"vs. LV","3 out of 5 stars","F","1.8"
"50","Durham Smythe",MIA,"at ARI","4 out of 5 stars","F","1.8"
"51","Darrell Daniels",ARI,"vs. MIA","2 out of 5 stars","F","1.8"
"52","Vance McDonald",PIT,"at DAL","4 out of 5 stars","F","1.8"
"53","Ryan Griffin",NYJ,"vs. NE","1 out of 5 stars","F","1.7"
"54","Josh Hill",NO,"at TB","3 out of 5 stars","F","1.7"
"55","Nick Keizer",KC,"vs. CAR","2 out of 5 stars","F","1.6"
"56","Charlie Woerner",SF,"vs. GB","1 out of 5 stars","F","1.5"
"57","Chris Manhertz",CAR,"at KC","2 out of 5 stars","F","1.5"
"58","Gabe Nabers",LAC,"vs. LV","3 out of 5 stars","F","1.5"
"59","Tanner Hudson",TB,"vs. NO","4 out of 5 stars","F","1.4"
"60","Nick Vannett",DEN,"at ATL","5 out of 5 stars","F","1.4"
"61","Adam Trautman",NO,"at TB","3 out of 5 stars","F","1.4"
"62","Temarrick Hemingway",WAS,"vs. NYG","2 out of 5 stars","F","1.4"
"63","Marcedes Lewis",GB,"at SF","1 out of 5 stars","F","1.3"
"64","Demetrius Harris",CHI,"at TEN","5 out of 5 stars","F","1.3"
"65","Maxx Williams",ARI,"vs. MIA","2 out of 5 stars","F","1.3"
"66","Blake Bell",DAL,"vs. PIT","1 out of 5 stars","F","1.3"
"67","MyCole Pruitt",TEN,"vs. CHI","4 out of 5 stars","F","1.3"
"68","Jeremy Sprinkle",WAS,"vs. NYG","2 out of 5 stars","F","1.3"
"69","Luke Stocker",ATL,"vs. DEN","3 out of 5 stars","F","1.3"
"70","Deon Yelder",KC,"vs. CAR","2 out of 5 stars","F","1.3"
"71","Isaac Nauta",DET,"at MIN","4 out of 5 stars","F","1.3"
"72","Pharaoh Brown",HOU,"at JAC","5 out of 5 stars","F","1.1"
"73","Ben Ellefson",JAC,"vs. HOU","4 out of 5 stars","F","1.1"
"74","Tyler Conklin",MIN,"vs. DET","2 out of 5 stars","F","1.1"
"75","Levine Toilolo",NYG,"at WAS","3 out of 5 stars","F","1.0"
"76","Jaeden Graham",ATL,"vs. DEN","3 out of 5 stars","F","1.0"
"77","Colin Thompson",CAR,"at KC","2 out of 5 stars","F","0.9"
"78","Stephen Anderson",LAC,"vs. LV","3 out of 5 stars","F","0.9"
"79","Luke Willson",FA,"-","-","F","0.8"
"80","Tyler Davis",JAC,"vs. HOU","4 out of 5 stars","F","0.7"
"81","Antony Auclair",TB,"vs. NO","4 out of 5 stars","F","0.7"
"82","J.P. Holtz",CHI,"at TEN","5 out of 5 stars","F","0.7"
"83","Derek Carrier",LV,"at LAC","4 out of 5 stars","F","0.5"
"84","Sean McKeon",DAL,"vs. PIT","1 out of 5 stars","F","0.5"
