"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"123","Malik Taylor",GB,"vs. JAC","4 out of 5 stars","F","1.4"
"124","Tyler Johnson",TB,"at CAR","1 out of 5 stars","F","-"
"125","Kevin White",SF,"at NO","4 out of 5 stars","F","-"
"126","John Hightower",PHI,"at NYG","4 out of 5 stars","F","-"
"127","Malcolm Perry",MIA,"vs. LAC","2 out of 5 stars","F","-"
"128","Kendrick Bourne",SF,"at NO","4 out of 5 stars","F","-"
"129","Olabisi Johnson",MIN,"at CHI","1 out of 5 stars","F","-"
"130","Brandon Zylstra",CAR,"vs. TB","3 out of 5 stars","F","-"
"131","Mike Thomas",CIN,"at PIT","5 out of 5 stars","F","-"
"132","Zay Jones",LV,"vs. DEN","3 out of 5 stars","F","-"
"133","Kirk Merritt",MIA,"vs. LAC","2 out of 5 stars","F","-"
"134","Dontrelle Inman",WAS,"at DET","3 out of 5 stars","F","-"
"135","DeMichael Harris",IND,"at TEN","5 out of 5 stars","F","-"
"136","Joe Reed",LAC,"at MIA","3 out of 5 stars","F","-"
"137","Keith Kirkwood",CAR,"vs. TB","3 out of 5 stars","F","-"
"138","Nick Westbrook-Ikhine",TEN,"vs. IND","3 out of 5 stars","F","-"
"139","Pharoh Cooper",CAR,"vs. TB","3 out of 5 stars","F","-"
"140","Alex Erickson",CIN,"at PIT","5 out of 5 stars","F","-"
"141","Taywan Taylor",CLE,"vs. HOU","5 out of 5 stars","F","-"
"142","K.J. Hill",LAC,"at MIA","3 out of 5 stars","F","-"
"143","Justin Watson",TB,"at CAR","1 out of 5 stars","F","-"
"144","James Proche",BAL,"at NE","3 out of 5 stars","F","-"
"145","Daurice Fountain",IND,"at TEN","5 out of 5 stars","F","-"
"146","Antonio Gandy-Golden",WAS,"at DET","3 out of 5 stars","F","-"
"147","Austin Carr",NO,"vs. SF","3 out of 5 stars","F","-"
"148","JJ Arcega-Whiteside",PHI,"at NYG","4 out of 5 stars","F","-"
"149","Tyrie Cleveland",DEN,"at LV","3 out of 5 stars","F","-"
"150","Andre Roberts",BUF,"at ARI","3 out of 5 stars","F","-"
"151","Jaydon Mickens",TB,"at CAR","1 out of 5 stars","F","-"
"152","John Ross",CIN,"at PIT","5 out of 5 stars","F","-"
"153","Diontae Spencer",DEN,"at LV","3 out of 5 stars","F","-"
"154","Trent Sherfield",ARI,"vs. BUF","2 out of 5 stars","F","-"
"155","Jeff Badet",WAS,"at DET","3 out of 5 stars","F","-"
"156","DeAndre Carter",HOU,"at CLE","5 out of 5 stars","F","-"
"157","Mohamed Sanu",DET,"vs. WAS","1 out of 5 stars","F","-"
"158","Dwayne Harris",CHI,"vs. MIN","5 out of 5 stars","F","-"
"159","Tajae Sharpe",MIN,"at CHI","1 out of 5 stars","F","-"
"160","Kristian Wilkerson",NE,"vs. BAL","2 out of 5 stars","F","-"
"161","Seth Roberts",GB,"vs. JAC","4 out of 5 stars","F","-"
"162","Corey Coleman",NYG,"vs. PHI","3 out of 5 stars","F","-"
"163","Fred Brown",DEN,"at LV","3 out of 5 stars","F","-"
"164","Quez Watkins",PHI,"at NYG","4 out of 5 stars","F","-"
