"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"71","Noah Togiai",IND,"at TEN","5 out of 5 stars","F","1.6"
"72","Temarrick Hemingway",WAS,"at DET","3 out of 5 stars","F","1.6"
"73","Lee Smith",BUF,"at ARI","4 out of 5 stars","F","1.6"
"74","Pharaoh Brown",HOU,"at CLE","3 out of 5 stars","F","1.6"
"75","Ben Ellefson",JAC,"at GB","1 out of 5 stars","F","1.5"
"76","J.P. Holtz",CHI,"vs. MIN","4 out of 5 stars","F","1.4"
"77","Derek Carrier",LV,"vs. DEN","3 out of 5 stars","F","1.4"
"78","Charlie Woerner",SF,"at NO","3 out of 5 stars","F","1.1"
"79","Isaac Nauta",DET,"vs. WAS","4 out of 5 stars","F","1.1"
"80","Mason Schreck",CIN,"at PIT","1 out of 5 stars","F","1.0"
"81","Stephen Anderson",LAC,"at MIA","3 out of 5 stars","F","1.0"
"82","Colin Thompson",CAR,"vs. TB","3 out of 5 stars","F","0.9"
"83","Antony Auclair",TB,"at CAR","2 out of 5 stars","F","0.8"
"84","Jordan Thomas",NE,"vs. BAL","3 out of 5 stars","F","0.8"
"85","Eric Saubert",JAC,"at GB","1 out of 5 stars","F","0.8"
"86","Tyler Davis",JAC,"at GB","1 out of 5 stars","F","0.3"
"87","Marcus Baugh",WAS,"at DET","3 out of 5 stars","F","0.9"
