"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"57","Benny Snell Jr.",PIT,"vs. CIN","3 out of 5 stars","F","4.3"
"58","Jalen Richard",LV,"vs. DEN","1 out of 5 stars","F","4.1"
"59","Tyler Ervin",GB,"vs. JAC","5 out of 5 stars","F","4.0"
"60","Dion Lewis",NYG,"vs. PHI","2 out of 5 stars","F","4.0"
"61","Ryan Nall",CHI,"vs. MIN","3 out of 5 stars","F","3.8"
"62","Anthony McFarland Jr.",PIT,"vs. CIN","3 out of 5 stars","F","3.5"
"63","Patrick Laird",MIA,"vs. LAC","3 out of 5 stars","F","3.4"
"64","Devonta Freeman",NYG,"vs. PHI","2 out of 5 stars","F","3.2"
"65","Kenyan Drake",ARI,"vs. BUF","5 out of 5 stars","D-","3.1"
"66","Jeremy McNichols",TEN,"vs. IND","1 out of 5 stars","F","3.0"
"67","Alfred Morris",NYG,"vs. PHI","2 out of 5 stars","F","3.0"
"68","D'Onta Foreman",TEN,"vs. IND","1 out of 5 stars","F","3.0"
"69","Kyle Juszczyk",SF,"at NO","1 out of 5 stars","F","2.9"
"70","Peyton Barber",WAS,"at DET","5 out of 5 stars","F","2.9"
"71","Justin Jackson",LAC,"at MIA","4 out of 5 stars","F","2.9"
"72","DeAndre Washington",MIA,"vs. LAC","3 out of 5 stars","F","2.8"
"73","Mark Ingram II",BAL,"at NE","4 out of 5 stars","F","2.8"
"74","Alex Collins",SEA,"at LAR","2 out of 5 stars","F","2.7"
"75","Trenton Cannon",CAR,"vs. TB","2 out of 5 stars","F","2.5"
"76","Jaylen Samuels",PIT,"vs. CIN","3 out of 5 stars","F","2.4"
"77","Samaje Perine",CIN,"at PIT","2 out of 5 stars","F","2.4"
"78","Matt Breida",MIA,"vs. LAC","3 out of 5 stars","F","2.3"
"79","LeSean McCoy",TB,"at CAR","4 out of 5 stars","F","2.3"
"80","Corey Clement",PHI,"at NYG","4 out of 5 stars","F","2.2"
"81","D.J. Foster",ARI,"vs. BUF","5 out of 5 stars","F","1.9"
"82","Buddy Howell",HOU,"at CLE","3 out of 5 stars","F","1.8"
"83","Carlos Hyde",SEA,"at LAR","2 out of 5 stars","F","1.8"
"84","Alec Ingold",LV,"vs. DEN","1 out of 5 stars","F","1.8"
"85","Royce Freeman",DEN,"at LV","4 out of 5 stars","F","1.7"
"86","C.J. Ham",MIN,"at CHI","2 out of 5 stars","F","1.7"
"87","Jakob Johnson",NE,"vs. BAL","2 out of 5 stars","F","1.6"
"88","Alex Armah",CAR,"vs. TB","2 out of 5 stars","F","1.6"
"89","Justice Hill",BAL,"at NE","4 out of 5 stars","F","1.6"
"90","D'Ernest Johnson",CLE,"vs. HOU","5 out of 5 stars","F","1.5"
"91","Eno Benjamin",ARI,"vs. BUF","5 out of 5 stars","F","1.4"
"92","Ameer Abdullah",MIN,"at CHI","2 out of 5 stars","F","1.4"
"93","Sony Michel",NE,"vs. BAL","2 out of 5 stars","F","1.4"
"94","AJ Dillon",GB,"vs. JAC","5 out of 5 stars","F","1.4"
"95","Patrick Ricard",BAL,"at NE","4 out of 5 stars","F","1.4"
"96","Dare Ogunbowale",JAC,"at GB","5 out of 5 stars","F","1.3"
"97","Ke'Shawn Vaughn",TB,"at CAR","4 out of 5 stars","F","1.2"
"98","Elijhaa Penny",NYG,"vs. PHI","2 out of 5 stars","F","1.2"
"99","Reggie Gilliam",BUF,"at ARI","2 out of 5 stars","F","1.2"
"100","Michael Burton",NO,"vs. SF","1 out of 5 stars","F","1.1"
"101","Andy Janovich",CLE,"vs. HOU","5 out of 5 stars","F","1.1"
"102","Cullen Gillaspia",HOU,"at CLE","3 out of 5 stars","F","1.0"
"103","Dontrell Hilliard",CLE,"vs. HOU","5 out of 5 stars","F","0.9"
"104","Reggie Bonnafon",CAR,"vs. TB","2 out of 5 stars","F","0.9"
"105","Lynn Bowden Jr.",MIA,"vs. LAC","3 out of 5 stars","F","1.0"
"106","Senorise Perry",TEN,"vs. IND","1 out of 5 stars","F","1.0"
"107","Austin Walter",SF,"at NO","1 out of 5 stars","F","0.9"
"108","Trayveon Williams",CIN,"at PIT","2 out of 5 stars","F","0.2"
"109","Khari Blasingame",TEN,"vs. IND","1 out of 5 stars","F","-"
"110","Tevin Coleman",SF,"at NO","1 out of 5 stars","F","-"
"111","Ty Montgomery",NO,"vs. SF","1 out of 5 stars","F","-"
"112","Devine Ozigbo",JAC,"at GB","5 out of 5 stars","F","-"
"113","Scottie Phillips",HOU,"at CLE","3 out of 5 stars","F","-"
"114","Dwayne Washington",NO,"vs. SF","1 out of 5 stars","F","-"
"115","Artavis Pierce",CHI,"vs. MIN","3 out of 5 stars","F","-"
"116","Jonathan Ward",ARI,"vs. BUF","5 out of 5 stars","F","-"
"117","Mike Boone",MIN,"at CHI","2 out of 5 stars","F","-"
"118","Theo Riddick",LV,"vs. DEN","1 out of 5 stars","F","-"
"119","Johnathan Lovett",FA,"-","-","F","-"
"120","Jason Huntley",PHI,"at NYG","4 out of 5 stars","F","-"
"121","Chandler Cox",MIA,"vs. LAC","3 out of 5 stars","F","-"
"122","Jeremy Cox",DEN,"at LV","4 out of 5 stars","F","-"
